id,type,subpanel,budget,duration,coinvestigators
2011/01/B/NZ5/02822,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 499 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 3
2011/01/B/NZ5/02838,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 472 200 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/NZ5/03811,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 297 500 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/ST1/03943,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST1   - Nauki matematyczne: wszystkie dziedziny matematyki, teoretyczne oraz stosowane a także podstawy matematyczne informatyki, fizyka matematyczna i statystyka matematyczna, m.in.:",Przyznana kwota: 168 400 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 2
2011/01/B/ST6/06478,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST6   - Informatyka i technologie informacyjne: technologie i systemy informacyjne, informatyka, obliczenia naukowe, systemy inteligentne, m.in.:",Przyznana kwota: 297 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ5/04216,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 377 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/ST8/04046,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST8   - Inżynieria procesów i produkcji: projektowanie wyrobów, projektowanie i sterowanie procesami produkcji, konstrukcje i procesy budowlane, inżynieria materiałowa, systemy energetyczne, m.in.:",Przyznana kwota: 295 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ5/04224,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 339 300 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST1/06184,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST1   - Nauki matematyczne: wszystkie dziedziny matematyki, teoretyczne oraz stosowane a także podstawy matematyczne informatyki, fizyka matematyczna i statystyka matematyczna, m.in.:",Przyznana kwota: 80 660 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 1
2011/01/B/NZ5/04235,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 546 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/NZ5/04239,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 412 810 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/NZ5/04246,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 425 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 4
2011/01/B/ST1/04875,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST1   - Nauki matematyczne: wszystkie dziedziny matematyki, teoretyczne oraz stosowane a także podstawy matematyczne informatyki, fizyka matematyczna i statystyka matematyczna, m.in.:",Przyznana kwota: 161 100 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 1
2011/01/B/NZ5/04322,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 383 500 PLN,Czas trwania projektu: 30 miesięcy,Liczba wykonawców projektu: 2
2011/01/B/ST8/01649,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST8   - Inżynieria procesów i produkcji: projektowanie wyrobów, projektowanie i sterowanie procesami produkcji, konstrukcje i procesy budowlane, inżynieria materiałowa, systemy energetyczne, m.in.:",Przyznana kwota: 325 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/NZ5/05291,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 1 274 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 38
2011/01/B/NZ9/00134,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ9   - Stosowane nauki o życiu: rolnictwo, leśnictwo, ogrodnictwo, rybactwo, żywienie i żywność, biotechnologia środowiskowa, m.in.:",Przyznana kwota: 433 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 10
