edycja,panel,zlozone,1_etap,2_etap,finansowanych
16,ST5,108,103,37,19
16,ST6,29,29,8,6
16,ST7,61,59,25,11
16,ST8,217,204,70,37
16,ST9,15,15,8,3
16,ST10,105,100,38,23
17,HS1,44,42,13,7
17,HS2,96,94,25,11
17,HS3,88,84,32,16
17,HS4,129,126,36,18
17,HS5,136,129,43,23
17,HS6,103,99,33,13
17,NZ1,45,45,19,9
17,NZ2,36,36,13,7
17,NZ3,79,78,28,12
17,NZ4,59,58,17,8
17,NZ5,107,104,30,14
17,NZ6,48,47,20,8
17,NZ7,116,111,32,15
17,NZ8,68,67,27,14
17,NZ9,128,126,37,19
17,ST1,44,43,19,9
17,ST2,39,38,15,7
17,ST3,45,45,15,7
17,ST4,111,108,39,18
17,ST5,165,161,47,21
17,ST6,49,49,17,10
17,ST7,50,49,14,7
17,ST8,125,124,38,15
17,ST9,24,24,11,5
17,ST10,117,117,34,15
